repo_name,cbo_mean,cbo_median,cbo_std_dev,dit_mean,dit_median,dit_std_dev,lcom_mean,lcom_median,lcom_std_dev,loc_mean,loc_median,loc_std_dev
jsoup,2.977,2.0,2.298,1.792,1.0,3.288,218.464,1.0,1619.663,7.944,5.0,10.112
javapoet,2.866,2.0,2.091,1.152,1.0,0.612,129.293,0.0,749.244,6.918,4.0,7.924
vlayout,1.845,1.0,2.39,1.855,1.0,1.492,72.541,0.0,368.428,9.768,3.0,23.499
OpenRefine,2.333,2.0,2.775,1.681,1.0,0.912,11.753,1.0,56.792,8.897,5.0,12.158
android-async-http,1.653,1.0,1.945,1.786,1.0,1.078,45.877,3.0,293.705,7.2,3.0,10.544
okhttp-OkGo,2.073,2.0,1.95,1.623,1.0,1.076,19.446,0.0,124.499,6.85,4.0,8.037
kkFileView,1.204,1.0,1.95,1.049,1.0,0.217,167.415,1.0,1205.524,13.73,3.0,132.81
RxPermissions,3.564,3.0,2.36,1.1,1.0,0.308,10.1,0.0,33.524,8.079,8.0,5.509
Java-WebSocket,1.405,1.0,1.567,1.782,1.0,1.328,34.387,4.0,173.871,8.04,3.0,14.923
JiaoZiVideoPlayer,1.417,1.0,1.763,2.116,2.0,0.978,56.638,4.0,213.184,7.59,4.0,9.656
debezium,2.307,2.0,2.647,1.593,1.0,1.013,55.399,1.0,476.144,7.945,3.0,13.813
clojure,1.62,1.0,2.281,1.495,1.0,2.343,130.311,0.0,1974.92,6.805,3.0,18.256
auto,1.798,1.0,1.773,1.706,1.0,3.252,25.458,1.0,269.082,4.785,3.0,5.64
jvm,0.0,0.0,,1.0,1.0,,0.0,0.0,,3.0,3.0,
plantuml,2.22,1.0,2.564,1.538,1.0,0.881,37.783,1.0,640.964,7.724,4.0,42.59
MVPArms,2.053,2.0,1.925,1.282,1.0,0.57,32.101,3.0,147.025,5.717,3.0,7.951
jjwt,2.113,2.0,2.439,2.02,1.0,2.405,26.303,1.0,143.532,5.54,3.0,8.377
VirtualApp,1.69,1.0,2.132,2.588,2.0,11.271,15.611,0.0,114.809,7.934,4.0,10.477
ViewPagerIndicator,1.327,1.0,1.715,2.242,3.0,0.86,29.273,0.0,127.34,8.609,4.0,13.679
pkl,2.163,2.0,2.086,4.438,4.0,15.709,27.578,0.0,282.011,5.618,3.0,10.072
Activiti,1.721,1.0,2.128,1.558,1.0,0.95,89.905,1.0,1571.379,6.545,3.0,11.102
glide-transformations,1.405,1.0,1.962,2.148,2.0,0.77,2.778,0.0,4.535,5.838,3.0,14.471
easypermissions,2.444,2.0,1.666,1.485,1.0,0.619,12.212,6.0,21.774,5.476,4.0,4.026
paascloud-master,2.306,1.0,2.503,1.315,1.0,0.543,5.457,0.0,25.617,6.026,3.0,7.139
AVLoadingIndicatorView,2.081,2.0,1.137,1.783,1.0,1.046,6.75,0.0,42.845,10.059,4.0,10.459
JsBridge,1.457,1.0,1.227,1.172,1.0,0.384,17.241,0.0,48.654,6.478,3.0,8.431
Fragmentation,2.017,2.0,1.724,1.708,1.0,1.097,15.116,0.0,102.269,6.098,4.0,6.478
MagicIndicator,1.209,1.0,1.619,1.34,1.0,0.57,26.942,3.0,79.462,6.893,3.0,8.922
Paper,3.634,2.0,10.74,1.095,1.0,0.297,2.357,1.0,3.608,8.295,3.0,14.234
datahub,4.222,3.0,3.806,1.183,1.0,0.494,16.608,1.0,88.082,9.133,5.0,10.0
resilience4j,2.612,2.0,2.206,1.485,1.0,1.027,17.608,1.0,87.49,5.916,3.0,5.941
xManager,1.7,2.0,1.378,1.013,1.0,0.191,6.631,0.0,159.237,39.621,5.0,242.756
CoreNLP,1.734,1.0,2.078,1.451,1.0,1.47,145.6,0.0,1805.287,10.656,4.0,30.896
Android-ObservableScrollView,1.675,1.0,1.892,1.967,2.0,1.167,7.57,0.0,30.685,8.32,4.0,9.909
spark,1.931,2.0,1.75,1.299,1.0,0.781,47.118,0.0,408.472,6.268,3.0,8.248
react-native-camera,,,,,,,,,,,,
android-Ultra-Pull-To-Refresh,1.625,1.0,1.818,1.404,1.0,0.719,19.143,0.0,138.956,7.63,4.0,11.418
spring-boot-api-project-seed,1.433,1.0,2.061,1.267,1.0,0.799,9.733,0.0,18.672,7.1,3.0,9.827
DanmakuFlameMaster,1.398,1.0,1.634,1.61,1.0,1.374,47.506,1.0,158.938,7.444,4.0,12.077
android-gif-drawable,1.713,1.0,1.375,1.656,1.0,1.288,59.734,0.0,286.66,5.013,3.0,5.036
kafka-ui,2.746,2.0,2.088,1.511,1.0,1.074,17.135,1.0,86.132,5.79,4.0,4.96
spider-flow,1.648,1.0,1.916,1.733,1.0,3.402,20.329,1.0,49.785,6.826,3.0,12.167
AndroidSlidingUpPanel,1.4,1.0,1.442,1.353,1.0,0.786,132.0,0.0,373.941,10.8,5.0,16.013
Mycat-Server,1.315,1.0,2.057,1.294,1.0,0.721,78.488,0.0,882.932,9.742,4.0,13.744
aws-doc-sdk-examples,2.678,3.0,2.117,1.034,1.0,0.287,6.485,1.0,25.292,11.734,10.0,15.001
zfile,2.897,2.0,3.201,1.568,1.0,1.146,5.092,0.0,21.156,8.011,4.0,9.516
feign,2.825,2.0,2.578,1.728,1.0,3.405,13.84,0.0,82.365,5.547,3.0,5.973
PocketHub,2.415,2.0,1.716,1.481,1.0,0.763,9.042,0.0,35.252,7.081,4.0,7.727
AgentWeb,1.905,2.0,1.812,1.488,1.0,0.998,18.793,0.0,99.163,7.924,4.0,9.858
cim,1.591,1.0,1.782,1.28,1.0,0.726,18.694,0.0,85.812,6.408,3.0,6.884
lawnchair,2.082,1.0,2.339,1.46,1.0,0.88,85.382,1.0,954.487,7.851,4.0,11.796
testing-samples,1.652,2.0,1.23,1.349,1.0,0.526,3.151,0.0,6.806,5.459,4.0,4.12
AndroidNote,1.343,1.0,1.083,1.375,1.0,0.518,8.125,3.0,12.744,9.943,5.0,9.692
Signal-Server,3.153,2.0,4.197,1.477,1.0,1.17,14.62,0.0,92.001,7.722,4.0,9.161
CalendarView,1.772,1.0,1.909,2.159,1.0,1.492,53.182,3.0,390.128,8.623,4.0,10.803
MaterialDesignLibrary,1.609,1.0,1.643,1.817,1.0,1.229,6.756,0.0,18.905,8.635,4.0,9.7
VirtualAPK,1.935,1.0,1.972,1.613,1.0,1.429,17.577,1.0,66.28,7.118,3.0,8.776
android-gpuimage,1.178,1.0,1.093,2.157,2.0,1.193,11.301,0.0,54.176,6.541,4.0,10.478
Aegis,2.362,2.0,2.662,1.704,1.0,1.017,22.644,1.0,139.586,8.114,4.0,11.999
