repo_name,cbo_mean,cbo_median,cbo_std_dev,dit_mean,dit_median,dit_std_dev,lcom_mean,lcom_median,lcom_std_dev,loc_mean,loc_median,loc_std_dev
Luyten,1.21,1.0,1.796,1.543,1.0,1.591,15.45,0.0,65.418,13.332,6.0,22.896
spring-mvc-showcase,1.298,1.0,1.137,1.207,1.0,0.45,9.448,0.0,23.868,3.681,3.0,2.674
LayoutManagerGroup,1.623,1.0,1.527,1.571,2.0,0.53,9.143,0.0,38.802,7.351,4.0,8.993
dddsample-core,2.372,2.0,2.589,1.139,1.0,0.493,6.739,0.0,23.428,5.523,3.0,6.0
joda-time,2.172,2.0,1.729,2.281,2.0,1.871,294.747,10.0,783.951,8.042,6.0,9.278
bitcoinj,2.743,2.0,2.757,1.823,1.0,2.916,85.716,0.0,654.159,8.705,4.0,20.951
RxJava2-Android-Samples,1.45,1.0,1.278,1.254,1.0,0.461,6.286,0.0,41.732,6.978,5.0,6.263
sofa-boot,1.878,1.0,2.234,1.196,1.0,0.528,17.828,0.0,246.737,5.91,3.0,6.86
NavigationTabBar,1.433,1.0,1.545,1.31,1.0,0.568,57.5,0.5,389.275,8.294,4.0,14.32
novel,0.955,0.0,2.08,1.071,1.0,0.342,20.823,0.0,67.815,3.868,3.0,3.854
CloudReader,1.651,1.0,1.753,1.455,1.0,0.923,19.413,0.0,84.247,7.913,4.0,10.03
CameraView,1.653,1.0,1.509,1.264,1.0,0.581,12.125,0.0,34.167,6.978,4.0,7.188
reactor-core,2.253,2.0,1.799,1.684,1.0,1.634,121.801,1.0,2146.526,7.635,5.0,8.721
RippleEffect,1.182,1.0,1.945,1.368,1.0,0.496,23.158,0.0,98.77,6.152,3.0,10.139
YCSB,2.513,2.0,2.236,1.628,1.0,0.749,7.679,0.0,19.306,13.973,9.0,14.769
shopping-management-system,1.188,0.0,1.52,1.361,1.0,0.664,76.33,3.0,592.769,6.881,3.0,10.875
folding-cell-android,1.558,1.0,1.726,1.333,1.0,0.483,13.381,0.0,37.521,8.36,4.0,8.94
mapdb,1.338,1.0,1.398,2.023,1.0,3.553,81.848,0.0,452.759,8.832,5.0,10.416
picocli,2.515,2.0,2.082,1.113,1.0,1.483,59.563,0.0,976.212,8.577,6.0,9.372
easy-rules,1.969,1.0,1.797,1.315,1.0,0.654,7.63,1.0,23.509,5.344,3.0,4.657
gpmall,1.734,1.0,2.738,1.361,1.0,0.645,8.17,0.0,43.341,6.249,3.0,7.761
react-native-linear-gradient,1.958,2.0,1.76,1.632,1.0,0.761,10.684,1.0,23.305,5.535,3.0,6.157
spring-cloud-netflix,1.863,1.0,2.343,1.197,1.0,0.499,101.39,0.0,976.542,5.002,3.0,4.389
XUI,1.633,1.0,1.579,1.659,1.0,0.945,52.71,1.0,352.065,7.159,4.0,10.137
wvp-GB28181-pro,1.592,0.0,2.862,1.272,1.0,0.537,152.662,1.0,1186.593,6.847,3.0,15.393
usb-serial-for-android,2.116,1.0,2.563,1.333,1.0,0.648,40.079,1.0,108.662,13.553,4.0,22.046
Transitions-Everywhere,3.071,3.0,2.476,1.679,1.0,1.346,25.72,0.0,223.419,8.796,4.0,15.103
roncoo-pay,1.129,0.0,2.298,1.282,1.0,0.657,62.937,3.0,312.8,6.244,3.0,9.711
spring-authorization-server,3.549,2.0,3.878,1.381,1.0,0.803,16.032,1.0,96.072,7.401,4.0,8.453
packer-ng-plugin,1.238,1.0,1.216,1.387,1.0,0.882,18.645,1.0,41.442,9.294,5.0,9.693
xpay,1.217,0.0,2.554,1.0,1.0,0.0,93.429,1.0,288.505,7.011,3.0,9.017
pmd,2.138,2.0,2.557,2.039,2.0,1.285,25.642,1.0,193.321,5.727,3.0,7.019
lucida,1.576,1.0,2.323,1.545,1.0,0.785,23.519,1.0,74.216,10.937,5.0,14.487
react-native-config,2.041,2.0,2.354,1.391,1.0,0.656,1.957,1.0,3.296,6.898,3.0,8.61
QLExpress,1.745,1.0,2.251,1.554,1.0,0.883,12.548,0.0,83.719,8.726,4.0,12.747
reactive-streams-jvm,1.741,2.0,1.501,1.277,1.0,0.798,20.336,0.0,127.962,7.768,3.0,9.743
JustTrustMe,1.44,1.0,2.459,1.185,1.0,0.483,2.704,0.0,9.067,9.66,4.0,23.051
cglib,1.097,0.0,1.75,1.532,1.0,1.159,261.797,0.0,5178.171,5.511,3.0,8.668
strimzi-kafka-operator,3.528,2.0,4.715,1.511,1.0,0.964,43.935,1.0,228.457,9.069,4.0,12.67
Android-ConvenientBanner,1.589,1.0,1.443,1.448,1.0,0.686,7.793,1.0,20.154,5.613,4.0,4.961
AppManager,2.292,2.0,2.387,1.479,1.0,0.709,77.259,1.0,1090.47,9.23,4.0,17.152
AndroidStaggeredGrid,1.479,1.0,1.543,1.861,1.5,1.417,155.889,0.5,666.973,10.21,6.0,11.394
openai-java,3.981,4.0,2.737,1.085,1.0,0.373,15.552,0.0,182.875,5.413,3.0,6.783
logisim-evolution,1.616,1.0,1.791,2.447,2.0,2.575,28.39,1.0,125.44,9.548,4.0,15.966
cameraview,1.653,1.0,1.509,1.264,1.0,0.581,12.125,0.0,34.167,6.978,4.0,7.188
DesignPattern,1.121,1.0,1.567,1.279,1.0,0.45,1.426,0.0,4.556,5.05,3.0,5.376
orientdb,2.013,1.0,2.279,1.633,1.0,0.95,325.023,1.0,16901.659,10.055,4.0,22.091
sodium-fabric,1.966,1.0,2.324,1.404,1.0,2.435,12.122,1.0,55.099,6.835,3.0,9.9
baseAdapter,1.921,2.0,1.488,1.32,1.0,0.551,18.28,0.0,77.353,6.074,5.0,6.022
android-tips-tricks,0.5,0.5,0.577,1.0,1.0,,0.0,0.0,,4.5,4.5,1.291
reflections,2.108,1.0,2.627,1.152,1.0,0.502,13.66,0.0,71.365,5.862,3.0,6.311
keepass2android,1.555,1.0,1.915,1.671,1.0,1.269,42.282,1.0,297.489,9.948,4.0,21.293
java-faker,2.432,2.0,2.769,1.449,1.0,0.498,40.747,0.0,391.206,4.268,3.0,4.782
SwitchButton,1.443,1.0,1.672,1.407,1.0,0.636,82.481,0.0,416.885,11.049,5.0,18.636
querydsl,2.192,2.0,2.082,1.987,1.0,2.139,42.901,0.0,572.845,5.498,3.0,7.776
ActiveAndroid,1.674,1.0,1.635,1.935,2.0,1.279,22.081,3.0,80.108,7.54,5.0,9.206
Geyser,2.284,2.0,2.664,2.011,2.0,1.575,32.362,1.0,452.328,8.466,3.0,18.085
library,3.047,3.0,2.102,1.041,1.0,0.297,5.431,0.0,23.41,3.399,3.0,1.505
spring-security-oauth,2.27,2.0,2.39,1.603,1.0,1.57,13.399,0.0,72.779,6.78,3.0,8.65
chuck,1.757,1.0,1.897,1.381,1.0,0.661,55.738,0.5,281.548,6.161,3.0,8.944
Android-IMSI-Catcher-Detector,1.938,1.0,2.279,1.331,1.0,0.662,4.964,0.0,16.362,12.062,6.0,17.218
Spring-Boot-In-Action,0.953,1.0,1.179,1.119,1.0,0.426,6.007,0.0,15.609,4.908,3.0,4.704
midjourney-proxy,2.364,2.0,2.53,1.244,1.0,0.547,5.811,0.0,14.41,8.095,4.0,9.247
bisq,2.192,2.0,2.668,1.771,1.0,1.195,30.501,0.0,365.995,8.503,4.0,14.82
TelegramBots,1.984,2.0,1.846,2.233,1.0,1.827,10.182,0.0,74.482,5.869,3.0,5.411
mall4j,2.899,2.0,3.27,1.137,1.0,0.367,3.886,0.0,23.114,5.291,3.0,6.415
oshi,1.365,1.0,1.762,1.566,1.0,1.212,30.552,1.0,119.667,8.186,3.0,12.298
MaterialDateTimePicker,1.778,2.0,1.68,1.466,1.0,0.625,127.63,1.0,461.745,8.77,4.0,15.869
dynamic-datasource,1.559,1.0,2.048,1.152,1.0,0.503,2.433,0.0,8.434,8.557,4.0,9.19
mybatis,1.573,1.0,2.027,1.304,1.0,0.821,21.468,0.0,204.211,6.196,3.0,6.76
cardslib,1.906,1.0,1.999,2.178,1.0,2.038,18.62,0.0,104.382,6.928,3.0,9.585
shattered-pixel-dungeon,1.985,1.0,3.511,3.203,2.0,3.585,13.687,1.0,99.809,10.088,5.0,17.015
small-spring,1.372,1.0,1.681,1.251,1.0,0.828,12.704,0.0,64.737,5.715,3.0,7.403
liquibase,1.869,1.0,2.637,1.782,2.0,0.92,62.748,2.0,549.66,7.563,3.0,13.104
FirebaseUI-Android,3.187,2.0,3.116,1.99,1.0,1.69,12.37,1.0,34.434,7.077,4.0,9.422
PageIndicatorView,1.983,2.0,1.807,1.5,1.0,0.712,22.806,1.0,161.996,7.731,5.0,7.908
wgcloud,1.179,0.0,2.278,1.195,1.0,0.398,38.136,21.0,48.101,5.543,3.0,9.711
OsmAnd,2.201,2.0,2.322,1.69,1.0,2.26,99.285,1.0,548.505,8.567,4.0,14.575
JAViewer,2.034,1.0,2.096,1.598,1.0,0.915,11.648,0.0,73.795,8.546,4.0,12.181
react-native-webrtc,2.738,2.0,2.537,1.149,1.0,0.359,8.388,0.0,29.304,12.228,8.0,14.582
MifareClassicTool,2.329,2.0,2.039,2.273,3.0,0.911,106.03,3.0,397.907,18.379,11.0,22.203
megabasterd,1.27,1.0,1.904,1.488,1.0,1.331,85.721,0.0,378.927,16.035,3.0,43.555
mockserver,2.75,2.0,2.516,1.687,1.0,1.114,95.822,1.0,1163.35,7.118,5.0,10.016
SimplifyReader,1.214,1.0,1.495,1.38,1.0,0.871,60.294,0.0,341.915,8.168,4.0,14.045
rocketmq-externals,1.617,1.0,2.059,1.233,1.0,0.524,16.17,0.0,90.281,7.264,3.0,8.317
sqlbrite,2.669,2.0,2.185,1.358,1.0,0.771,4.302,0.0,27.941,6.352,4.0,5.67
go-lang-idea-plugin,2.515,2.0,2.71,2.073,2.0,1.327,110.029,3.0,2012.336,6.049,3.0,12.356
killbill,3.196,2.0,3.815,1.793,1.0,1.099,28.055,1.0,120.122,8.928,4.0,11.745
Depth-LIB-Android-,1.511,1.0,1.54,1.213,1.0,0.433,13.352,0.0,54.515,7.288,4.0,7.905
quasar,1.611,1.0,1.718,1.497,1.0,1.171,35.997,0.0,433.681,6.707,3.0,8.891
ribbon,2.523,2.0,2.971,1.266,1.0,0.662,13.377,0.0,99.927,7.169,4.0,8.966
calcite,2.592,2.0,2.399,1.722,1.0,2.113,341.395,1.0,6474.496,7.339,3.0,10.984
JGrowing,1.116,1.0,0.879,1.0,1.0,0.0,1.947,1.0,4.403,6.302,6.0,4.045
Douya,1.941,2.0,1.767,1.625,1.0,1.087,28.398,1.0,198.599,5.413,3.0,6.735
microservices-platform,2.286,2.0,2.128,1.244,1.0,0.579,6.679,0.0,31.192,6.294,4.0,6.477
SpringBoot-Shiro-Vue,2.642,2.0,2.015,1.407,1.0,0.971,9.444,0.0,30.628,5.17,3.0,5.339
libsvm,2.062,1.0,2.358,1.353,1.0,0.884,19.618,0.0,100.044,22.354,8.0,34.72
android-crop,1.85,1.0,1.479,1.387,1.0,0.667,26.484,0.0,80.434,8.197,5.0,8.374
crawler4j,1.199,0.0,2.192,1.313,1.0,0.562,55.892,1.0,331.067,8.245,3.0,14.094
esProc,2.083,1.0,2.671,2.136,2.0,1.469,96.925,1.0,861.328,18.395,6.0,42.745
bottomsheet,1.863,2.0,1.624,1.368,1.0,0.667,27.662,0.0,176.516,7.145,3.0,10.931
JSON-java,2.062,2.0,1.511,1.225,1.0,0.635,295.742,3.0,1183.614,10.433,6.0,15.301
SmoothProgressBar,1.815,2.0,1.713,1.229,1.0,0.472,26.312,0.0,95.339,7.24,4.0,13.27
langchain4j,2.225,1.0,2.486,1.135,1.0,0.466,9.803,0.0,34.319,6.51,4.0,7.915
jpexs-decompiler,1.745,1.0,3.21,1.921,1.0,1.869,59.687,1.0,603.07,11.339,4.0,30.492
dexposed,1.247,1.0,1.308,1.694,1.0,1.348,82.833,0.0,424.414,9.633,8.0,8.285
spring-cloud-gateway,2.361,2.0,2.33,1.36,1.0,0.752,17.197,0.0,139.976,5.471,3.0,5.383
blog_demos,1.467,1.0,1.785,1.198,1.0,0.682,15.142,0.0,120.666,6.67,3.0,9.717
Pixiv-Shaft,1.772,1.0,2.339,1.449,1.0,1.114,23.707,0.0,238.123,8.261,3.0,20.115
bilibili-android-client,0.864,0.0,1.455,1.818,1.0,1.171,42.791,3.0,173.103,4.855,3.0,5.434
NineOldAndroids,1.811,2.0,1.463,1.435,1.0,0.714,30.145,0.0,108.072,7.492,4.0,10.258
ForestBlog,2.011,1.0,2.43,1.07,1.0,0.256,12.686,0.0,46.044,4.606,3.0,6.016
javacpp,2.24,2.0,1.821,2.024,2.0,1.245,153.193,1.0,384.77,8.404,3.0,43.227
TV,1.49,1.0,1.518,1.404,1.0,0.786,114.752,1.0,881.432,5.077,3.0,5.051
aviatorscript,1.939,2.0,1.762,1.498,1.0,0.776,60.983,1.0,379.857,9.133,4.0,19.183
spotless,2.023,2.0,1.693,1.714,1.0,1.246,12.404,1.0,82.734,6.239,4.0,7.481
azkaban,1.958,1.0,2.28,1.352,1.0,0.797,35.84,1.0,172.518,8.519,4.0,11.01
GCViewer,2.602,2.0,2.794,2.169,1.0,2.339,49.059,1.0,237.115,8.843,6.0,12.695
micrometer,2.277,2.0,2.228,1.282,1.0,0.643,19.523,0.0,136.793,5.988,3.0,6.258
android-times-square,1.927,1.5,1.83,1.234,1.0,0.598,25.872,0.0,134.509,8.435,5.0,11.889
simplify,2.832,3.0,2.431,1.402,1.0,0.844,20.743,0.0,75.981,7.663,5.0,10.231
java-algorithms-implementation,1.824,2.0,1.741,1.583,1.0,2.173,7.05,0.0,24.608,10.252,5.0,19.687
AndroidHttpCapture,1.309,1.0,1.756,1.415,1.0,0.793,36.887,0.0,258.904,8.102,3.0,10.478
android-mvp-architecture,1.433,1.0,1.652,1.384,1.0,0.807,14.11,0.0,36.024,4.434,3.0,4.622
concurrent,,,,,,,,,,,,
Robust,1.122,1.0,1.365,1.262,1.0,0.544,17.357,3.5,35.649,11.341,7.0,14.498
spring-boot-best-practice,1.963,2.0,1.605,1.094,1.0,0.347,3.175,0.0,27.436,4.9,3.0,4.083
epic,1.18,1.0,2.683,1.624,1.0,0.826,30.396,1.0,219.899,6.857,3.0,11.71
db-tutorial,2.093,2.0,1.767,1.183,1.0,0.552,32.548,0.0,181.838,8.978,6.0,8.787
GT,1.552,1.0,1.941,1.303,1.0,0.662,13.67,0.0,80.569,11.109,5.0,20.079
objectbox-java,2.113,2.0,2.08,1.728,1.0,1.729,93.814,0.0,443.983,6.28,3.0,7.329
ticker,1.787,2.0,1.361,1.323,1.0,0.702,27.613,0.0,110.131,7.59,5.0,9.772
AndroidTutorialForBeginners,1.535,1.0,1.608,1.496,1.0,0.73,2.744,0.0,6.917,8.197,5.0,8.711
moco,3.035,2.0,2.611,1.539,1.0,0.853,34.657,1.0,360.831,5.38,4.0,4.384
leet-code,0.744,0.0,0.998,1.0,1.0,0.0,1.086,0.0,2.955,7.308,5.0,5.626
BottomNavigation,1.843,2.0,1.498,1.433,1.0,0.728,69.267,4.5,162.136,6.892,4.0,7.785
opengrok,1.659,1.0,2.053,1.636,1.0,1.293,79.247,1.0,1097.275,8.659,4.0,17.945
BGARefreshLayout-Android,2.058,2.0,1.579,1.407,1.0,0.752,9.796,1.0,42.536,7.605,4.0,7.982
shiro,1.745,1.0,1.841,1.79,1.0,1.612,19.713,1.0,80.267,6.208,3.0,7.23
typespec,3.99,3.0,3.828,1.185,1.0,0.537,29.004,1.0,150.405,5.301,3.0,8.83
android-volley,2.072,1.0,2.22,1.894,1.0,2.758,15.818,0.0,94.17,6.958,4.0,8.441
Digital,1.827,1.0,2.075,1.684,1.0,1.729,13.246,0.0,95.62,7.237,4.0,9.621
JDA,2.477,2.0,2.12,1.86,1.0,1.218,123.913,3.0,1204.912,4.558,3.0,6.061
maven,1.988,2.0,2.207,1.441,1.0,1.082,57.986,1.0,544.582,6.517,3.0,10.403
ImagePicker,1.738,1.0,2.022,1.487,1.0,0.774,23.079,0.0,115.57,8.381,4.0,10.776
coursera-android,1.513,1.0,1.434,1.488,1.0,0.631,3.359,0.0,35.347,8.166,5.0,8.904
android-autofittextview,1.621,1.0,1.412,1.375,1.0,0.518,40.75,1.5,107.671,6.288,3.0,7.033
CircleIndicator,2.425,2.0,2.436,1.622,2.0,0.684,8.511,1.0,22.812,6.359,4.0,5.677
flink-recommandSystem-demo,1.097,1.0,1.704,1.078,1.0,0.27,6.403,1.0,15.621,5.162,3.0,5.837
Ant-Media-Server,1.527,1.0,2.413,1.323,1.0,0.726,160.183,1.0,2183.933,8.669,3.0,15.932
java-learning,0.802,1.0,0.904,1.287,1.0,0.513,0.596,0.0,2.923,7.106,4.0,5.821
OpenHub,1.841,1.0,2.152,1.633,1.0,1.182,32.928,1.0,130.036,5.633,3.0,7.681
InternetArchitect,1.427,1.0,1.488,1.156,1.0,0.68,63.77,0.0,303.222,5.356,3.0,6.151
frontend-maven-plugin,1.673,1.0,1.688,1.727,1.0,0.946,7.051,1.0,28.254,7.431,4.0,9.523
ShineButton,1.585,1.0,1.621,1.625,1.0,0.824,23.625,0.0,94.182,7.217,4.0,8.565
tx-lcn,1.282,1.0,1.634,1.212,1.0,0.628,6.338,0.0,43.438,5.963,3.0,5.122
WePush,1.611,1.0,2.767,1.59,1.0,1.48,25.542,1.0,112.693,14.04,3.0,27.714
poi-tl,1.822,1.0,2.66,1.206,1.0,0.527,89.655,0.0,1507.197,6.241,3.0,8.553
CoordinatorTabLayout,1.95,2.0,1.455,1.412,1.0,0.507,9.412,0.0,32.755,6.733,5.0,6.308
JKeyboardPanelSwitch,2.053,2.0,1.684,1.3,1.0,0.463,7.38,0.0,13.705,6.797,4.0,7.94
FloatWindow,1.367,1.0,1.535,1.273,1.0,0.544,9.727,1.0,27.382,6.394,4.0,9.487
h2database,1.628,1.0,2.208,2.038,2.0,1.529,175.107,3.0,1572.718,11.822,5.0,20.355
failsafe,2.891,2.0,2.639,2.063,1.0,1.743,19.176,1.0,56.379,6.994,3.5,7.685
BGABanner-Android,1.612,1.0,1.792,1.585,2.0,0.602,26.283,1.0,155.695,7.982,4.0,11.746
serve,1.663,1.0,2.343,1.5,1.0,0.923,68.261,3.0,341.694,8.172,3.0,12.319
jacoco,2.113,2.0,1.894,1.433,1.0,0.704,12.646,0.0,79.893,7.089,5.0,8.2
Infinity-For-Reddit,2.349,2.0,2.947,1.607,1.0,2.37,27.487,1.0,283.569,11.994,4.0,37.679
powermock,1.588,1.0,1.516,1.243,1.0,0.645,22.713,0.0,281.338,6.382,4.0,9.812
lilishop,2.774,2.0,2.671,1.317,1.0,0.575,14.252,0.0,100.656,7.105,4.0,9.102
AndroidWiFiADB,1.66,1.0,1.396,1.5,1.0,1.075,12.133,0.0,23.721,6.242,5.0,3.962
jitsi,1.645,1.0,2.175,1.901,1.0,2.531,39.371,0.0,211.328,8.313,4.0,12.477
sensitive-word,1.54,1.0,1.489,1.172,1.0,0.474,16.713,0.0,102.049,4.964,3.0,4.697
GDA-android-reversing-Tool,1.277,1.0,0.82,1.0,1.0,0.0,57.375,0.0,228.168,7.092,3.0,8.79
spring-boot-starter,1.881,1.0,2.462,1.223,1.0,0.516,16.177,0.0,153.054,4.846,3.0,4.809
hmily,1.937,1.0,1.974,1.22,1.0,0.572,10.645,0.0,56.228,6.145,3.0,6.793
Tangram-Android,2.194,2.0,2.613,1.678,1.0,1.144,23.211,0.0,121.158,8.278,4.0,14.756
LoadingDrawable,1.241,1.0,1.377,1.446,1.0,0.531,15.831,1.0,27.992,8.049,4.0,9.564
javassist,1.833,1.0,2.13,1.553,1.0,1.354,43.866,0.0,313.778,12.638,4.0,400.001
IoT-Technical-Guide,1.668,1.0,1.975,1.248,1.0,0.492,3.163,0.0,12.064,5.436,3.0,5.954
campus-imaotai,1.989,1.0,2.072,1.413,1.0,1.17,20.376,1.0,78.43,6.155,3.0,7.13
ipscan,2.001,1.0,2.358,1.666,1.0,1.63,4.131,0.0,12.446,7.315,4.0,8.147
ExpandableTextView,1.745,1.0,1.917,1.733,1.0,1.1,11.8,0.0,39.398,6.618,4.0,6.626
allure2,2.403,2.0,2.572,1.306,1.0,0.791,11.422,1.0,38.354,5.924,3.0,5.81
djl,2.269,2.0,2.335,1.562,1.0,1.052,151.817,2.0,1794.939,6.827,3.0,8.612
malmo,1.961,1.0,2.424,2.144,2.0,2.717,12.849,1.0,30.403,9.715,5.0,13.721
ViewPagerCards,1.472,1.0,1.828,1.556,2.0,0.527,2.222,0.0,3.701,5.611,3.0,6.792
jodd,1.497,1.0,1.657,1.441,1.0,1.333,12.949,0.0,59.229,6.867,4.0,7.51
open-location-code,1.701,1.0,2.076,1.179,1.0,0.458,4.0,0.0,10.583,7.32,3.5,8.704
tiny-spring,1.442,1.0,2.049,1.151,1.0,0.409,2.368,0.0,6.314,4.313,3.0,3.637
crate,2.236,2.0,2.614,1.654,1.0,1.007,47.026,1.0,635.953,7.538,4.0,10.079
CC,1.803,1.0,1.862,1.258,1.0,0.558,16.317,0.0,129.759,7.655,4.0,8.837
QAuxiliary,2.143,1.0,2.471,1.312,1.0,0.557,42.446,1.0,257.183,10.934,4.0,17.788
greys-anatomy,1.551,1.0,1.958,1.154,1.0,0.546,6.771,0.0,21.887,11.191,4.0,23.436
Bolts-Android,2.808,3.0,1.976,1.089,1.0,0.413,19.013,0.0,150.347,11.566,7.0,11.903
bistoury,1.53,1.0,2.197,1.279,1.0,0.724,21.416,1.0,119.189,8.608,3.0,14.227
Phoenix,1.534,1.0,1.695,1.667,1.0,0.963,7.542,0.0,19.167,8.318,5.0,8.762
FloatingActionButton,1.835,1.0,1.876,1.815,2.0,1.21,37.593,1.0,182.6,5.898,3.0,6.116
maxwell,2.154,2.0,2.312,1.623,1.0,0.812,32.107,0.0,156.806,8.347,5.0,10.921
SmartCropper,1.763,2.0,1.521,1.333,1.0,0.492,122.5,0.0,408.121,9.946,7.0,9.388
TwinklingRefreshLayout,1.412,1.0,1.483,1.371,1.0,0.659,36.272,0.0,214.685,6.968,3.0,9.246
XCL-Charts,1.906,1.0,2.732,2.177,1.0,1.554,49.043,4.0,157.798,8.681,4.0,11.548
dubbo-admin,1.438,1.0,2.156,1.378,1.0,0.782,24.183,1.0,74.859,6.238,3.0,7.292
BadgeView,1.621,1.0,1.581,1.314,1.0,0.583,49.886,0.0,220.939,9.412,4.0,17.38
Wukong_HRM,2.406,2.0,2.631,1.186,1.0,0.431,18.362,0.0,136.534,8.677,3.0,19.336
hawk,1.37,1.0,1.22,1.038,1.0,0.196,12.962,1.0,25.524,5.281,3.0,6.545
chunjun,1.976,1.0,2.484,1.55,1.0,0.801,18.203,1.0,110.307,8.957,4.0,12.908
BigImageViewer,1.76,1.0,1.645,1.286,1.0,0.528,12.81,1.0,61.288,6.885,4.0,9.144
Suwayomi-Server,1.297,1.0,1.269,1.712,1.0,1.455,314.142,1.0,1604.756,5.506,3.0,10.072
zotfile,,,,,,,,,,,,
GuideView,1.451,1.0,1.554,1.371,1.0,0.731,8.229,1.0,35.275,7.361,3.0,8.212
tech-weekly,,,,,,,,,,,,
RxJavaSamples,2.088,1.0,2.185,1.396,1.0,0.743,1.604,0.0,3.799,7.98,4.0,8.614
android-iconify,1.229,1.0,1.502,1.233,1.0,0.427,5.186,1.0,15.308,4.778,3.0,6.746
interviewGuide,,,,,,,,,,,,
jstorm,1.386,1.0,1.74,1.456,1.0,1.293,42.374,1.0,526.013,7.25,4.0,9.538
aurora,2.77,2.0,2.631,1.117,1.0,0.361,7.258,0.0,80.09,4.759,3.0,6.43
RichText,1.768,1.0,2.274,1.447,1.0,0.85,10.545,0.0,45.942,7.591,4.0,10.396
java-developer-roadmap,0.0,0.0,,1.0,1.0,,0.0,0.0,,3.0,3.0,
guide-rpc-framework,2.242,2.0,2.344,1.238,1.0,0.698,1.212,0.0,3.808,8.463,6.0,7.287
effective-java-3e-source-code,0.644,1.0,0.72,1.188,1.0,0.657,1.327,0.0,3.479,4.799,3.0,4.406
learning-spark,1.832,1.0,2.549,1.015,1.0,0.122,1.797,0.0,12.092,8.579,3.0,13.291
XposedInstaller,1.974,1.0,2.191,1.419,1.0,0.854,8.517,0.0,29.795,9.91,4.0,12.731
LiveEventBus,1.903,2.0,1.454,1.11,1.0,0.371,4.036,0.0,16.925,6.544,3.0,6.486
dolby_beta,1.881,1.0,2.576,1.454,1.0,0.82,7.951,1.0,49.918,9.479,3.0,13.466
incubator-streampark,2.163,2.0,2.15,1.264,1.0,0.639,15.845,0.0,59.932,6.763,4.0,9.071
DataMiningAlgorithm,1.227,1.0,1.37,1.087,1.0,0.358,9.96,0.0,36.265,15.863,8.0,17.645
XChange,1.931,1.0,2.257,1.509,1.0,0.918,26.483,0.0,706.582,5.089,3.0,5.439
BackgroundLibrary,1.78,1.0,1.821,1.21,1.0,0.409,34.176,0.0,222.087,12.121,4.0,48.002
ahbottomnavigation,1.952,2.0,1.816,1.174,1.0,0.383,57.478,0.0,313.31,8.414,4.0,15.69
MaterialSearchView,1.481,1.0,1.496,1.317,1.0,0.521,22.659,1.0,132.522,7.175,4.0,7.265
xboot,2.588,1.0,3.22,1.212,1.0,0.532,2.656,0.0,9.35,7.462,3.0,11.13
Launcher3,2.298,2.0,2.582,1.475,1.0,0.864,63.681,0.0,728.693,9.179,5.0,13.549
sofa-rpc,1.82,1.0,2.235,1.321,1.0,0.625,24.461,0.0,127.832,8.742,3.0,12.681
CircleProgress,1.185,1.0,1.39,1.68,2.0,0.69,85.76,1.0,244.341,6.38,4.0,6.142
awaitility,2.183,1.0,2.312,1.193,1.0,0.587,14.667,0.0,84.909,6.096,3.0,6.952
jmonkeyengine,1.554,1.0,1.949,1.726,1.0,1.209,52.524,0.0,374.994,8.371,4.0,14.001
TinyPinyin,1.72,1.0,1.633,1.092,1.0,0.341,8.754,0.0,57.799,7.404,5.0,6.537
MarqueeView,2.024,2.0,1.793,1.364,1.0,0.492,5.455,0.0,12.086,7.294,4.0,9.869
SuperTextView,1.535,1.0,1.487,1.15,1.0,0.381,86.583,0.0,893.193,8.747,4.0,14.847
roboguice,2.515,2.0,2.399,1.31,1.0,1.182,7.128,0.0,70.398,6.889,3.0,8.549
unidbg,2.086,1.0,2.596,1.608,1.0,1.306,26.305,0.0,236.794,9.824,3.0,65.538
screw,2.159,1.0,2.532,1.353,1.0,0.794,5.243,0.0,9.679,7.697,4.0,9.243
DSBridge-Android,1.722,1.0,1.446,1.106,1.0,0.312,15.979,0.0,72.19,10.317,6.0,16.048
IDDD_Samples,1.581,1.0,2.23,1.664,1.0,1.074,27.327,5.0,93.391,5.253,3.0,5.009
andOTP,2.061,1.0,2.264,1.5,1.0,0.983,41.416,0.0,339.33,9.163,4.0,15.96
MallChat,2.126,1.0,2.368,1.203,1.0,0.465,4.439,0.0,14.947,6.021,4.0,5.334
mpush,1.417,1.0,1.751,1.344,1.0,0.695,24.565,1.0,171.614,5.476,3.0,6.021
oblivion,1.815,1.0,2.037,1.483,1.0,0.707,10.603,0.5,39.834,9.64,6.5,11.147
sticky-headers-recyclerview,2.593,2.0,2.534,1.276,1.0,0.528,3.241,0.0,6.68,7.253,4.0,8.25
dynamic-tp,1.431,1.0,1.744,1.329,1.0,0.717,18.689,0.0,147.747,6.106,3.0,6.481
CustomActivityOnCrash,2.413,2.0,2.055,1.333,1.0,0.488,32.333,0.0,80.059,7.75,3.0,16.015
blurkit-android,1.759,2.0,1.582,1.5,1.0,0.707,30.3,0.0,90.003,7.414,4.5,9.544
spruce-android,2.152,2.0,1.98,1.369,1.0,0.752,5.352,0.0,30.992,8.211,5.0,12.215
SwipeDelMenuLayout,1.659,1.0,1.524,1.25,1.0,0.439,5.2,0.0,28.599,11.059,5.0,16.19
